Designator,Mid X,Mid Y,Rotation,Layer
D1,46.08,-44.2,180.0,bottom
D10,100.08,-61.2,180.0,bottom
D11,118.08,-61.2,180.0,bottom
D12,136.08,-61.2,180.0,bottom
D13,46.08,-78.2,180.0,bottom
D14,64.08,-78.2,180.0,bottom
D15,82.08,-78.2,180.0,bottom
D16,100.08,-78.2,180.0,bottom
D17,118.08,-78.2,180.0,bottom
D18,136.08,-78.2,180.0,bottom
D19,46.08,-95.2,180.0,bottom
D2,64.08,-44.2,180.0,bottom
D20,64.08,-95.2,180.0,bottom
D21,82.08,-95.2,180.0,bottom
D22,100.08,-95.2,180.0,bottom
D23,118.08,-95.2,180.0,bottom
D24,136.08,-95.2,180.0,bottom
D25,53.48,-40.3,90.0,bottom
D26,172.6,-44.2,180.0,bottom
D27,190.6,-44.2,180.0,bottom
D28,208.6,-44.2,180.0,bottom
D29,226.6,-44.2,180.0,bottom
D3,82.08,-44.2,180.0,bottom
D30,244.6,-44.2,180.0,bottom
D31,262.6,-44.2,180.0,bottom
D32,172.6,-61.2,180.0,bottom
D33,190.6,-61.2,180.0,bottom
D34,208.6,-61.2,180.0,bottom
D35,226.6,-61.2,180.0,bottom
D36,244.6,-61.2,180.0,bottom
D37,262.6,-61.2,180.0,bottom
D38,172.6,-78.2,180.0,bottom
D39,190.6,-78.2,180.0,bottom
D4,100.08,-44.2,180.0,bottom
D40,208.6,-78.2,180.0,bottom
D41,226.6,-78.2,180.0,bottom
D42,244.6,-78.2,180.0,bottom
D43,262.6,-78.2,180.0,bottom
D44,172.6,-95.2,180.0,bottom
D45,190.6,-95.2,180.0,bottom
D46,208.6,-95.2,180.0,bottom
D47,226.6,-95.2,180.0,bottom
D48,244.6,-95.2,180.0,bottom
D49,262.6,-95.2,180.0,bottom
D5,118.08,-44.2,180.0,bottom
D50,252.0,-40.3,90.0,bottom
D6,136.08,-44.2,180.0,bottom
D7,46.08,-61.2,180.0,bottom
D8,64.08,-61.2,180.0,bottom
D9,82.08,-61.2,180.0,bottom
LED1,44.48,-36.8,180.0,top
LED10,80.48,-53.8,0.0,top
LED11,62.48,-53.8,0.0,top
LED12,44.48,-53.8,0.0,top
LED13,44.48,-70.8,180.0,top
LED14,62.48,-70.8,180.0,top
LED15,80.48,-70.8,180.0,top
LED16,98.48,-70.8,180.0,top
LED17,116.48,-70.8,180.0,top
LED18,134.48,-70.8,180.0,top
LED19,134.48,-87.8,0.0,top
LED2,62.48,-36.8,180.0,top
LED20,116.48,-87.8,0.0,top
LED21,98.48,-87.8,0.0,top
LED22,80.48,-87.8,0.0,top
LED23,62.48,-87.8,0.0,top
LED24,44.48,-87.8,0.0,top
LED25,261.0,-36.8,0.0,top
LED26,243.0,-36.8,0.0,top
LED27,225.0,-36.8,0.0,top
LED28,207.0,-36.8,0.0,top
LED29,189.0,-36.8,0.0,top
LED3,80.48,-36.8,180.0,top
LED30,171.0,-36.8,0.0,top
LED31,171.0,-53.8,180.0,top
LED32,189.0,-53.8,180.0,top
LED33,207.0,-53.8,180.0,top
LED34,225.0,-53.8,180.0,top
LED35,243.0,-53.8,180.0,top
LED36,261.0,-53.8,180.0,top
LED37,261.0,-70.8,0.0,top
LED38,243.0,-70.8,0.0,top
LED39,225.0,-70.8,0.0,top
LED4,98.48,-36.8,180.0,top
LED40,207.0,-70.8,0.0,top
LED41,189.0,-70.8,0.0,top
LED42,171.0,-70.8,0.0,top
LED43,171.0,-87.8,180.0,top
LED44,189.0,-87.8,180.0,top
LED45,207.0,-87.8,180.0,top
LED46,225.0,-87.8,180.0,top
LED47,243.0,-87.8,180.0,top
LED48,261.0,-87.8,180.0,top
LED5,116.48,-36.8,180.0,top
LED6,134.48,-36.8,180.0,top
LED7,134.48,-53.8,0.0,top
LED8,116.48,-53.8,0.0,top
LED9,98.48,-53.8,0.0,top
SW1,44.48,-41.5,0.0,top
SW10,98.48,-58.5,0.0,top
SW11,116.48,-58.5,0.0,top
SW12,134.48,-58.5,0.0,top
SW13,44.48,-75.5,0.0,top
SW14,62.48,-75.5,0.0,top
SW15,80.48,-75.5,0.0,top
SW16,98.48,-75.5,0.0,top
SW17,116.48,-75.5,0.0,top
SW18,134.48,-75.5,0.0,top
SW19,44.48,-92.5,0.0,top
SW2,62.48,-41.5,0.0,top
SW20,62.48,-92.5,0.0,top
SW21,80.48,-92.5,0.0,top
SW22,98.48,-92.5,0.0,top
SW23,116.48,-92.5,0.0,top
SW24,134.48,-92.5,0.0,top
SW25,171.0,-41.5,0.0,top
SW26,189.0,-41.5,0.0,top
SW27,207.0,-41.5,0.0,top
SW28,225.0,-41.5,0.0,top
SW29,243.0,-41.5,0.0,top
SW3,80.48,-41.5,0.0,top
SW30,261.0,-41.5,0.0,top
SW31,171.0,-58.5,0.0,top
SW32,189.0,-58.5,0.0,top
SW33,207.0,-58.5,0.0,top
SW34,225.0,-58.5,0.0,top
SW35,243.0,-58.5,0.0,top
SW36,261.0,-58.5,0.0,top
SW37,171.0,-75.5,0.0,top
SW38,189.0,-75.5,0.0,top
SW39,207.0,-75.5,0.0,top
SW4,98.48,-41.5,0.0,top
SW40,225.0,-75.5,0.0,top
SW41,243.0,-75.5,0.0,top
SW42,261.0,-75.5,0.0,top
SW43,171.0,-92.5,0.0,top
SW44,189.0,-92.5,0.0,top
SW45,207.0,-92.5,0.0,top
SW46,225.0,-92.5,0.0,top
SW47,243.0,-92.5,0.0,top
SW48,261.0,-92.5,0.0,top
SW5,116.48,-41.5,0.0,top
SW6,134.48,-41.5,0.0,top
SW7,44.48,-58.5,0.0,top
SW8,62.48,-58.5,0.0,top
SW9,80.48,-58.5,0.0,top
U1,24.88,-49.53,0.0,top
U2,147.55,-42.75,0.0,top
U3,280.49,-49.51,0.0,top
U4,157.95,-42.75,0.0,top
